Symbol,Current Price
AAPL,225.91000366210938
NVDA,132.75999450683594
MSFT,406.3500061035156
AMZN,186.19000244140625
META,567.5800170898438
GOOGL,171.11000061035156
GOOG,172.64999389648438
AVGO,169.77000427246094
TSLA,249.85000610351562
LLY,829.7999877929688
JPM,221.83999633789062
UNH,564.3800048828125
XOM,116.70999908447266
V,289.8349914550781
MA,499.2674865722656
PG,165.1699981689453
COST,874.1799926757812
HD,393.8299865722656
JNJ,159.8625030517578
ABBV,203.8699951171875
WMT,81.93000030517578
NFLX,756.030029296875
CRM,291.49749755859375
BAC,41.810001373291016
ORCL,167.8300018310547
MRK,102.26000213623047
KO,65.30999755859375
CVX,148.8000030517578
AMD,144.0500030517578
PEP,166.0800018310547
LIN,456.1499938964844
CSCO,54.779998779296875
WFC,64.91999816894531
ACN,344.82501220703125
ADBE,478.0799865722656
TMO,546.3400268554688
MCD,292.260009765625
PM,132.70570373535156
ABT,113.37999725341797
NOW,932.77001953125
GE,171.8000030517578
IBM,206.72000122070312
TXN,203.16000366210938
QCOM,162.77000427246094
CAT,376.1600036621094
ISRG,503.8399963378906
VZ,42.1349983215332
INTU,610.2999877929688
DIS,96.20999908447266
